Date;Python;R
2014-01;0;0
2014-02;0;0
2014-03;0;0
2014-04;0;10
2014-05;0;0
2014-06;0;0
2014-07;0;11
2014-08;0;0
2014-09;0;0
2014-10;15;0
2014-11;16;0
2014-12;0;12
2015-01;13;0
2015-02;0;11
2015-03;9;14
2015-04;21;20
2015-05;17;19
2015-06;14;16
2015-07;19;30
2015-08;14;12
2015-09;23;16
2015-10;18;20
2015-11;22;12
2015-12;18;12
2016-01;17;15
2016-02;18;22
2016-03;22;16
2016-04;25;19
2016-05;27;20
2016-06;23;22
2016-07;23;25
2016-08;26;19
2016-09;26;17
2016-10;32;33
2016-11;22;39
2016-12;38;20
2017-01;42;15
2017-02;44;36
2017-03;40;35
2017-04;48;34
2017-05;53;48
2017-06;55;31
2017-07;59;42
2017-08;51;40
2017-09;61;32
2017-10;54;32
2017-11;61;34
2017-12;52;30
2018-01;66;42
2018-02;71;31
2018-03;59;38
2018-04;58;38
2018-05;70;41
2018-06;75;49
2018-07;79;41
2018-08;65;33
2018-09;83;29
2018-10;78;33
2018-11;67;31
2018-12;76;33
2019-01;74;39
2019-02;88;31
2019-03;79;38
2019-04;63;37
2019-05;58;31
2019-06;91;40
2019-07;86;31
2019-08;76;33
2019-09;95;31
2019-10;72;28
2019-11;59;32
2019-12;61;20
2020-01;70;36
2020-02;79;38
2020-03;52;28
2020-04;70;35
2020-05;99;27
2020-06;82;34
2020-07;93;23
2020-08;69;28
2020-09;78;23
2020-10;62;26
2020-11;58;17
2020-12;49;18
2021-01;44;22
2021-02;52;20
2021-03;54;16
2021-04;51;23
2021-05;51;27
2021-06;56;22
2021-07;48;16
2021-08;51;19
2021-09;55;18
2021-10;60;23
2021-11;56;17
2021-12;53;12
2022-01;87;25
2022-02;82;29
2022-03;87;29
2022-04;85;28
2022-05;89;28
2022-06;88;26
2022-07;89;26
2022-08;79;25
2022-09;81;27
2022-10;79;26
2022-11;100;19
2022-12;89;31
2023-01;84;18
2023-02;87;32
2023-03;85;27
2023-04;81;27
2023-05;74;28
2023-06;72;26
2023-07;81;24
2023-08;71;20
2023-09;73;23
2023-10;81;21
2023-11;70;29
2023-12;87;20
2024-01;69;26
2024-02;76;17
2024-03;69;18
2024-04;76;24
2024-05;62;23
2024-06;87;21
2024-07;85;23
2024-08;79;9
